codigo_ocupacion,nombre_ocupacion
"7331","Abaniquero"
"2421","Abogado"
"2421","Abogado patrocinante"
"2421","Abogado, civilista"
"2421","Abogado, criminalista"
"7416","Abridor, capo y capillos/elaboración (cigarros)"
"7416","Abridor, capote/elaboración (cigarros)"
"7431","Abridor, fibras textiles"
"8269","Acabador y adornador, sombreros"
"7322","Acabador, bordes de cristal"
"7442","Acabador, calzado"
"7321","Acabador, cerámica"
"7422","Acabador, muebles/madera"
"7411","Acecinador"
"7233","Aceitador-engrasador"
"7233","Aceitador-engrasador, buques"
"3117","Acidificador, pozos de petróleo y gas"
"3480","Acólito"
"9152","Acomodador"
"5142","Acompañante"
"7416","Acondicionador, tabaco"
"3474","Acróbata"
"2455","Actor"
"2455","Actor, cine"
"2455","Actor, teatro"
"2455","Actriz"
"2455","Actriz, cine"
"2455","Actriz, teatro"
"2121","Actuario"
"2452","Acuarelista"
"2453","Adaptador musical"
"7111","Ademador, minas"
"6129","Adiestrador, perros"
"5152","Adivinador"
"1120","Administrador, administración pública"
"2131","Administrador, banco de datos"
"5121","Administrador, campamento/turismo"
"5121","Administrador, hogar estudiantil"
"1120","Administrador, municipalidad"
"1120","Administrador, organización intergubernamental"
"3413","Administrador, propiedades inmuebles"
"7441","Adobador, cueros"
"7122","Adoquinador"
"7113","Adornista"
"7113","Adornista, monumentos"
"3441","Aduanero"
"7224","Afilador ambulante"
"7224","Afilador, cuchillería"
"7224","Afilador, herramientas"
"7224","Afilador, instrumentos cortantes"
"8211","Afilador, muela de afilar/herramientas"
"7224","Afilador, sierras"
"7312","Afinador, acordeón"
"7312","Afinador, cuerdas de piano"
"7312","Afinador, instrumentos musicales"
"7231","Afinador, motores/vehículos"
"7312","Afinador, órgano"
"7312","Afinador, piano"
"7322","Afinador, vidrios/óptica (anteojería)"
"3439","Agente administrativo, administración pública"
"3439","Agente administrativo, consulado"
"8312","Agente de maniobras, ferrocarril"
"5162","Agente de policía, tránsito"
"3413","Agente inmobiliario"
"3422","Agente marítimo"
"3441","Agente, aduana"
"3411","Agente, bolsa"
"3411","Agente, cambio"
"3421","Agente, compras"
"3421","Agente, compras/productos básicos"
"3416","Agente, compras/suministros"
"3429","Agente, deportivo"
"4133","Agente, ferrocarril/mercancías"
"3442","Agente, fiscal/aranceles"
"3442","Agente, fiscal/imposición"
"3450","Agente, investigaciones/policía"
"3429","Agente, literario"
"2419","Agente, marcas y patentes"
"3429","Agente, musical"
"3423","Agente, oficina de colocación"
"3421","Agente, operaciones comerciales"
"5162","Agente, policía"
"3429","Agente, publicidad"
"3412","Agente, seguros"
"3429","Agente, servicios a las empresas"
"3416","Agente, suministros"
"3429","Agente, teatro"
"3414","Agente, turismo"
"3429","Agente, venta de publicidad/espacios"
"3415","Agente, ventas"
"3415","Agente, ventas/comercio"
"3415","Agente, ventas/industria manufacturera"
"3415","Agente, ventas/técnico"
"3414","Agente, viajes"
"2419","Agregado de prensa"
"6111","Agricultor"
"6111","Agricultor, cultivo/alfalfa"
"6111","Agricultor, cultivo/algodón"
"6111","Agricultor, cultivo/arroz"
"6111","Agricultor, cultivo/cacahuete"
"6111","Agricultor, cultivo/caña de azúcar"
"6111","Agricultor, cultivo/cereales"
"6112","Agricultor, cultivo/cítricos"
"6111","Agricultor, cultivo/grano"
"6111","Agricultor, cultivo/hortalizas (cultivo extensivo)"
"6111","Agricultor, cultivo/lino"
"6111","Agricultor, cultivo/maíz"
"6111","Agricultor, cultivo/remolacha"
"6111","Agricultor, cultivo/sisal"
"6111","Agricultor, cultivo/soja"
"6111","Agricultor, cultivo/tabaco"
"6111","Agricultor, cultivo/trigo"
"6111","Agricultor, cultivo/yute"
"6112","Agricultor, plantación/cacao"
"6112","Agricultor, plantación/cafetales"
"6112","Agricultor, plantación/cocoteros"
"6112","Agricultor, plantación/hévea"
"6114","Agricultor, policultivos"
"6210","Agricultor, subsistencia"
"2148","Agrimensor"
"2148","Agrimensor, aerofotógrafo"
"2148","Agrimensor, catastral"
"2148","Agrimensor, geodésico"
"2148","Agrimensor, hidrográfico"
"2148","Agrimensor, minas"
"2148","Agrimensor, topografía"
"2148","Agrimensor, topografía aérea"
"2213","Agrólogo"
"2213","Agrónomo"
"2213","Agrónomo, arboricultor"
"2213","Agrónomo, conservación de la naturaleza"
"2213","Agrónomo, ecólogo"
"2213","Agrónomo, edafología"
"2213","Agrónomo, floricultor"
"2213","Agrónomo, horticultura"
"2213","Agrónomo, silvicultura"
"7224","Aguzador, herramientas"
"9311","Ahoyador, canteras"
"7411","Ahumador, carnes"
"7411","Ahumador, pescados"
"7134","Aislador, calderas y tuberías"
"7134","Aislador, sonidos"
"7311","Ajustador, balanzas"
"7222","Ajustador, calibradores"
"7215","Ajustador, cordajes"
"7222","Ajustador, mandriles"
"7233","Ajustador, mantenimiento/maquinaria industrial"
"7341","Ajustador, máquina de fototipia"
"7233","Ajustador, máquina de imprenta"
"7233","Ajustador, maquinaria/movimiento de tierras"
"7233","Ajustador, máquinas agrícolas"
"7233","Ajustador, máquinas de oficina"
"7233","Ajustador, máquinas de vapor"
"7233","Ajustador, máquinas herramientas"
"7233","Ajustador, máquinas/industria"
"7233","Ajustador, máquinas/industria textil"
"7233","Ajustador, máquinas/labra (madera)"
"7233","Ajustador, máquinas/minería"
"7233","Ajustador, motores marinos"
"7232","Ajustador, motores/avión"
"7231","Ajustador, motores/vehículos"
"7242","Ajustador, radar"
"7233","Ajustador, turbinas"
"7241","Ajustador-electricista"
"7241","Ajustador-electricista, aparatos de control"
"7241","Ajustador-electricista, aparatos de señalización"
"7241","Ajustador-electricista, armaduras de dínamos"
"7241","Ajustador-electricista, ascensores"
"7241","Ajustador-electricista, cables"
"7241","Ajustador-electricista, conmutadores"
"7241","Ajustador-electricista, dínamos"
"7241","Ajustador-electricista, dínamos y motores"
"7241","Ajustador-electricista, generadores"
"7241","Ajustador-electricista, instalaciones de climatización"
"7241","Ajustador-electricista, instrumentos"
"7241","Ajustador-electricista, interruptores"
"7241","Ajustador-electricista, refrigeración y climatización"
"7241","Ajustador-electricista, reóstatos"
"7241","Ajustador-electricista, tablero de control"
"7241","Ajustador-electricista, transformadores"
"7242","Ajustador-electronicista"
"7242","Ajustador-electronicista, aparatos de grabación y transmisión/sonido e imagen"
"7242","Ajustador-electronicista, aparatos médicos"
"7242","Ajustador-electronicista, aparatos meteorológicos"
"7242","Ajustador-electronicista, computadoras"
"7242","Ajustador-electronicista, emisoras de televisión"
"7242","Ajustador-electronicista, equipos de telecomunicaciones"
"7242","Ajustador-electronicista, equipos informáticos"
"7242","Ajustador-electronicista, instalaciones de señalización"
"7242","Ajustador-electronicista, instrumentos de medida"
"7242","Ajustador-electronicista, maquinaria industrial"
"7242","Ajustador-electronicista, material electrónico"
"7242","Ajustador-electronicista, prototipos"
"7242","Ajustador-electronicista, radar"
"7242","Ajustador-electronicista, radio"
"7242","Ajustador-electronicista, sistemas de señalización"
"7242","Ajustador-electronicista, televisión"
"7222","Ajustador-herramentista, gálibos"
"7222","Ajustador-herramentista, máquinas"
"7222","Ajustador-herramentista, matrices"
"7222","Ajustador-herramentista, trazador"
"7222","Ajustador-modelista, fundición"
"7232","Ajustador-montador, armazones/avión"
"7212","Ajustador-operador, máquina de soldar/bisutería"
"7212","Ajustador-operador, máquina de soldar/metales"
"7341","Ajustador-operador, máquina fundidora de tipos"
"7311","Ajustador-óptico, precisión"
"7111","Aladrero"
"7122","Albañalero"
"7122","Albañil, chimeneas"
"7122","Albañil, construcción"
"7122","Albañil, hornos"
"7122","Albañil, lingoteras/ladrillo"
"7122","Albañil, material refractario"
"7122","Albañil, piedra/construcción"
"7122","Albañil, revestimiento/hornos"
"7122","Albañil-fumista, industrial"
"7122","Albañil-mampostero, construcción"
"1110","Alcalde"
"7321","Alfarero"
"3432","Alguacil"
"2221","Alienista"
"7431","Alimentador, cardas"
"7441","Alisador, pieles"
"4131","Almacenista"
"6141","Almadiero"
"6153","Almadrabero"
"7414","Almazarero"
"9133","Almidonador, lavandería"
"2221","Alópata"
"7345","Alzador, encuadernación"
"5142","Ama de compañía"
"5121","Ama de llaves"
"5131","Ama seca"
"3474","Amaestrador, elefantes"
"3474","Amaestrador, fieras"
"4144","Amanuense"
"4122","Amanuense, estadística"
"7412","Amasador, pan"
"5132","Ambulanciero"
"7113","Amolador, piedra"
"7113","Amolador, pizarra"
"7224","Amolador, sierras"
"5143","Amortajador"
"2149","Analista, comunicaciones/excepto computadoras"
"2419","Analista, mercados"
"2412","Analista, ocupaciones"
"2412","Analista, profesiones"
"2412","Analista, puestos de trabajo"
"2131","Analista, sistemas informáticos"
"2131","Analista, sistemas informáticos/banco de datos"
"2131","Analista, sistemas informáticos/computadoras"
"2131","Analista, sistemas informáticos/comunicaciones"
"2131","Analista, sistemas informáticos/telecomunicaciones"
"2149","Analista, sistemas/excepto informáticos"
"2131","Analista, transmisiones/sistemas informáticos"
"2212","Anatomista"
"2221","Anestesista"
"3472","Anfitrión"
"3460","Animador, nivel medio/centro cultural"
"3213","Animador, rural"
